,Title_x,Artist_x,id,artist_genres_x,Year_x,is_top100_x,acousticness_x,danceability_x,duration_ms_x,energy_x,instrumentalness_x,key_x,liveness_x,loudness_x,mode_x,speechiness_x,tempo_x,time_signature_x,valence_x,Title_y,Artist_y,artist_genres_y,Year_y,is_top100_y,acousticness_y,danceability_y,duration_ms_y,energy_y,instrumentalness_y,key_y,liveness_y,loudness_y,mode_y,speechiness_y,tempo_y,time_signature_y,valence_y
16,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,"['dance pop', 'pop']",2016,0.0,0.0123,0.667,236002.0,0.83,0.0,0.0,0.191,-5.715,1.0,0.0749,113.03,4.0,0.701,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"['dance pop', 'pop']",2016,1.0,0.0123,0.667,236002.0,0.83,0.0,0.0,0.191,-5.715,1.0,0.0749,113.03,4.0,0.701
17,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,"['dance pop', 'pop']",2016,0.0,0.0123,0.667,236002.0,0.83,0.0,0.0,0.191,-5.715,1.0,0.0749,113.03,4.0,0.701,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"['dance pop', 'pop']",2017,1.0,0.0123,0.667,236002.0,0.83,0.0,0.0,0.191,-5.715,1.0,0.0749,113.03,4.0,0.701
18,One Dance,Drake,1zi7xx7UVEFkmKfv06H8x0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",2016,0.0,0.00776,0.792,173987.0,0.625,0.00188,1.0,0.329,-5.609,1.0,0.0536,103.967,4.0,0.37,,,,,,,,,,,,,,,,,,
19,Into You,Ariana Grande,2meEiZKWkiN28gITzFwQo5,"['dance pop', 'pop', 'post-teen pop']",2016,0.0,0.0162,0.623,244453.0,0.734,1.9e-06,9.0,0.145,-5.95,1.0,0.107,107.853,4.0,0.372,,,,,,,,,,,,,,,,,,
20,Ad Hamidbar,DJ Only,7jdvibTKMCbIP2B77ayD8Q,['israeli pop'],2016,0.0,0.462,0.657,204696.0,0.876,0.0,0.0,0.0787,-3.976,0.0,0.0755,104.971,4.0,0.561,,,,,,,,,,,,,,,,,,
21,Act III: The Reason,Dennis Lloyd,3HIIJAt82X8huRUu5eC7lh,['israeli pop'],2016,0.0,0.188,0.774,194535.0,0.782,0.0,10.0,0.0903,-1.434,0.0,0.0492,95.043,4.0,0.58,,,,,,,,,,,,,,,,,,
22,All Time Low,Jon Bellion,1CnPYaKxTVb4LWOtiGOm0m,"['pop', 'pop rap']",2016,0.0,0.0584,0.617,217603.0,0.567,0.0,0.0,0.0933,-4.188,1.0,0.0828,90.246,4.0,0.505,All Time Low,Jon Bellion,"['pop', 'pop rap']",2017,1.0,0.0584,0.617,217603.0,0.567,0.0,0.0,0.0933,-4.188,1.0,0.0828,90.246,4.0,0.505
23,That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,"['pop', 'post-teen pop']",2016,0.0,0.013,0.853,206693.0,0.56,0.0,1.0,0.0944,-4.961,1.0,0.0406,134.066,4.0,0.86,That's What I Like,Bruno Mars,"['pop', 'post-teen pop']",2017,1.0,0.013,0.853,206693.0,0.56,0.0,1.0,0.0944,-4.961,1.0,0.0406,134.066,4.0,0.86
24,Love On The Brain,Rihanna,5oO3drDxtziYU2H1X23ZIp,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",2016,0.0,0.0717,0.509,224000.0,0.637,1.08e-05,4.0,0.0789,-4.83,0.0,0.0471,172.006,3.0,0.378,,,,,,,,,,,,,,,,,,
25,Silsulim,Static & Ben El,1g0IBPZTRP7VYkctJ4Qafg,"['israeli pop', 'jewish pop']",2016,0.0,0.054,0.758,220464.0,0.869,0.0,6.0,0.0954,-2.947,0.0,0.0347,95.011,4.0,0.371,,,,,,,,,,,,,,,,,,
